icao24,callsign,origin_country,time_position,last_contact,last_contact_utc,longitude,latitude,geo_altitude,on_ground,velocity,true_track,vertical_rate,baro_altitude,squawk,category
7c6db3,QFA509  ,Australia,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,151.1017,-32.0784,10652.76,False,217.33,201.52,-15.93,10370.82,1006,1
7c6db9,QFA733  ,Australia,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,151.1822,-34.0479,1074.42,False,132.01,163.47,14.96,982.98,4237,1
7c6db8,QFA611  ,Australia,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,150.5554,-30.8633,11247.12,False,210.53,217.65,0.0,10972.8,1071,1
4baa4c,TKJ2CG  ,Turkey,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,32.8553,36.2951,7917.18,False,240.65,144.75,-12.68,7528.56,2365,1
a95745,AAL2152 ,United States,1729029798.0,1729029798,2024-10-15 22:03:18+00:00,-81.6602,30.5084,152.4,False,67.2,250.32,-3.9,68.58,1433,1
a239e0,UAL1931 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-118.9415,34.088,11475.72,False,221.58,313.78,0.0,10972.8,3714,1
a4fddb,RPA4502 ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-77.3852,41.6616,7688.58,False,222.71,211.78,0.0,7924.8,7012,4
a26f79,HBAL712 ,United States,1729029961.0,1729029963,2024-10-15 22:06:03+00:00,152.7075,-35.6727,19370.04,False,1.03,270.0,0.0,18409.92,2676,10
a26f6f,SKW4058 ,United States,1729029963.0,1729029964,2024-10-15 22:06:04+00:00,-81.7397,41.3383,8107.68,False,210.77,119.38,-10.73,8351.52,6323,4
a39630,DAL665  ,United States,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-86.4693,34.4214,9570.72,False,280.66,107.6,-4.55,9349.74,7373,4
7c4a2b,OXP     ,Australia,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,144.478,-37.7861,434.34,False,62.09,276.18,0.33,411.48,1200,2
484368,KLM642  ,Kingdom of the Netherlands,1729029964.0,1729029964,2024-10-15 22:06:04+00:00,-73.5126,40.5565,2971.8,False,188.3,89.37,2.93,3070.86,3315,1
4ca891,RYR662U ,Ireland,1729029963.0,1729029963,2024-10-15 22:06:03+00:00,-7.8327,52.5194,8420.1,False,204.91,112.12,12.03,8305.8,7650,1
