Time of Departure,Departure Airport,Arrival Airport,Arrival Time
1672980030.0,KEWR,EDDF,1673003293
1672999361.0,LIMC,EDDF,1673003272
1672994186.0,LPPT,EDDF,1673003196
1672969634.0,KDEN,EDDF,1673003170
1672998938.0,,EDDF,1673003026
1673000240.0,EDDH,EDDF,1673002996
1672998861.0,EKCH,EDDF,1673002864
1672996120.0,LEBL,EDDF,1673002856
1672999354.0,LSGG,EDDF,1673002763
1673000061.0,LKPR,EDDF,1673002759
1672990822.0,BIKF,EDDF,1673002492
1672999110.0,EDDB,EDDF,1673002218
1672998510.0,EKBI,EDDF,1673002215
1672996320.0,LIRF,EDDF,1673002100
1672997365.0,LFML,EDDF,1673002094
1673000053.0,EDDN,EDDF,1673002011
1672998127.0,LIML,EDDF,1673001673
1672998978.0,EDDC,EDDF,1673001539
1672999680.0,EDDL,EDDF,1673001409
1672996655.0,,EDDF,1673000964
1672996837.0,LOWW,EDDF,1673000849
1672996567.0,LOWG,EDDF,1673000618
1672995091.0,EPWA,EDDF,1673000399
1672998001.0,EDDV,EDDF,1673000127
1672976274.0,KJFK,EDDF,1673000080
1672996806.0,LFPG,EDDF,1672999918
1672996191.0,EGLL,EDDF,1672999736
1672992022.0,LEMD,EDDF,1672999463
1672997150.0,EDDM,EDDF,1672999259
1672996320.0,EDDH,EDDF,1672999137
1672968011.0,KIAH,EDDF,1672999023
1672994749.0,EGBB,EDDF,1672998894
1672994635.0,EGLL,EDDF,1672998868
1672994114.0,EGLC,EDDF,1672998707
1672962582.0,KLAX,EDDF,1672998689
1672991519.0,LEMD,EDDF,1672998592
1672983427.0,OLBA,EDDF,1672998566
1672962308.0,KSFO,EDDF,1672998321
1672994922.0,EDDB,EDDF,1672998261
1672994371.0,EGSS,EDDF,1672998162
1672989631.0,LROP,EDDF,1672997828
1672987393.0,LTFM,EDDF,1672997669
1672994183.0,LIMC,EDDF,1672997608
1672967804.0,,EDDF,1672997459
1672952394.0,SAEZ,EDDF,1672997301
1672990668.0,LEPA,EDDF,1672997177
1672992724.0,,EDDF,1672997094
1672992832.0,LOWW,EDDF,1672997088
1672959885.0,KSFO,EDDF,1672996988
1672990714.0,,EDDF,1672996422
1672964355.0,,EDDF,1672996153
1672993800.0,EBBR,EDDF,1672996098
1672968268.0,KMCO,EDDF,1672995790
1672989413.0,EIDW,EDDF,1672995593
1672970797.0,KJFK,EDDF,1672995359
1672992093.0,LSZH,EDDF,1672995294
1672991005.0,EGLL,EDDF,1672995082
1672991751.0,LFPG,EDDF,1672995051
1672959819.0,KSEA,EDDF,1672994819
1672957509.0,,EDDF,1672994626
1672992230.0,EDDM,EDDF,1672994507
1672991220.0,EDDB,EDDF,1672994409
1672986700.0,LEMD,EDDF,1672994384
1672986068.0,LPPR,EDDF,1672994338
1672985730.0,EFHK,EDDF,1672994243
1672988889.0,EPWA,EDDF,1672994103
1672985468.0,EVRA,EDDF,1672994069
1672990579.0,EDDH,EDDF,1672994005
1672991195.0,EHAM,EDDF,1672993972
1672990871.0,EHAM,EDDF,1672993873
1672967278.0,KORD,EDDF,1672993796
1672988779.0,EGLL,EDDF,1672993701
1672970288.0,KJFK,EDDF,1672993511
,,EDDF,1672993458
1672989696.0,LIMC,EDDF,1672993365
1672987839.0,EPWA,EDDF,1672993257
1672983468.0,LGAV,EDDF,1672992989
1672989518.0,EDDV,EDDF,1672992860
1672983417.0,LPPT,EDDF,1672992820
1672984436.0,EFHK,EDDF,1672992749
1672986530.0,LYBE,EDDF,1672992659
1672959498.0,KIAH,EDDF,1672992581
1672980400.0,LTAC,EDDF,1672992446
1672977290.0,LLBG,EDDF,1672992382
1672986936.0,LIRF,EDDF,1672992269
1672989595.0,EDDM,EDDF,1672992143
1672956940.0,CYVR,EDDF,1672992118
1672984104.0,LEMD,EDDF,1672991997
1672972896.0,,EDDF,1672991900
1672986913.0,EPGD,EDDF,1672991837
1672958860.0,,EDDF,1672991816
1672987266.0,EGBB,EDDF,1672991754
1672986749.0,EGCC,EDDF,1672991726
1672960115.0,KDEN,EDDF,1672991657
1672960839.0,,EDDF,1672991608
1672988748.0,LKPR,EDDF,1672991530
1672988680.0,EHAM,EDDF,1672991478
1672985978.0,ESGG,EDDF,1672991268
1672985309.0,ENZV,EDDF,1672991243
1672985082.0,,EDDF,1672991238
1672966671.0,KIAD,EDDF,1672991181
1672988091.0,EDDB,EDDF,1672991151
1672987954.0,LFPG,EDDF,1672991078
1672984168.0,ESSA,EDDF,1672991057
1672987084.0,EGLL,EDDF,1672990972
1672987118.0,LFPG,EDDF,1672990791
1672983693.0,EYVI,EDDF,1672990648
1672967941.0,KEWR,EDDF,1672990581
1672986701.0,LFHC,EDDF,1672990552
1672982362.0,LBSF,EDDF,1672990433
1672987226.0,EDDH,EDDF,1672990018
1672979677.0,,EDDF,1672989987
1672985827.0,LOWW,EDDF,1672989959
1672984840.0,,EDDF,1672989772
1672985599.0,LIPZ,EDDF,1672989755
